,id,peopleUsingBasicDrinkingWaterServices,peoplePracticingOpenDefecation,peopleUsingBasicSanitationServices,peopleUsingSafeSanitationServices,ruralPeopleUsingBasicSanitationServices,urbanPeopleUsingBasicSanitationServices,peopleWithBasicHandwashingFacilities,ruralPeopleWithBasicHandwashingFacilities,urbanPeopleWithBasicHandwashingFacilities,maleUnemploymentRate,femaleUnemploymentRate,totalUnemploymentRate,yearsOfMaternalLeave
121,122,36.36631784,93.70229013,16.30377201,57.32418733,,46.76066936,76.25205048,61.12845769,48.41372215,,,,83.91090336
122,123,36.20152413,93.54640884,14.77854935,59.20125322,,49.0361818,77.25211292,64.31381152,52.66565622,,,,84.99829157
123,124,36.03369828,93.39059737,13.26099326,61.06426149,,51.29504918,78.25649975,67.48635617,56.9175903,,,,86.08567977
124,125,35.86274126,93.23485574,11.75133632,62.91304935,,53.53727151,79.26521096,70.64573818,61.16952438,,,,87.17306798
125,126,35.68978668,93.07918395,10.24708919,64.75166491,,55.76284878,80.27824654,73.79560573,65.42145846,,,,88.26045618
126,127,35.76400171,92.92358198,8.749029143,66.57990296,,57.97178099,81.2956065,76.93463978,69.67339254,,,,89.34784439
127,128,35.83886904,92.76804985,7.303359668,68.39731114,,60.16406814,82.31729084,80.06123049,73.92532662,,,,90.43523259
128,129,95.23581292,99.69304221,0.0,99.8817868,97.8283804,99.9963302,99.85302032,,,12.06000042,5.960000038,,
129,130,95.24582727,99.69304221,0.0,99.88154042,97.89264968,99.9963302,99.85302032,,,0.319999993,0.639999986,,
130,131,95.2557833,99.69304221,0.0,99.88129549,97.95699817,99.9963302,99.85302032,,,0.25,0.430000007,,
131,132,95.2656829,99.69304221,0.0,99.8810546,98.02142764,99.9963302,99.85302032,,,0.529999971,0.400000006,,
132,133,95.27552413,99.69304221,0.0,99.88081511,98.08593485,99.9963302,99.85302032,,,0.360000014,0.579999983,,
133,134,95.46778236,99.71441514,0.0,99.86076619,98.13517396,99.90014735,99.85138983,,,0.639999986,0.660000026,,
134,135,95.65914859,99.73578807,0.0,99.84103269,98.18494766,99.8039645,99.84975935,,,0.670000017,0.829999983,,
135,136,95.84939996,99.75716101,0.0,99.82162867,98.2352578,99.70778165,99.84812887,,,,,,
136,137,96.03857024,99.77853394,0.0,99.80256859,98.28612717,99.61159879,99.84649839,,,3.420000076,2.819999933,,
137,138,96.22654489,99.79990687,0.0,99.78386084,98.33755989,99.51541594,99.84486791,,,2.00999999,1.769999981,,
138,139,96.41326821,99.82127981,0.0,99.7655241,98.32452877,99.41923309,99.84323742,,,6.110000134,2.799999952,,
139,140,96.59863984,99.84265274,0.0,99.74755356,98.31176198,99.32305024,99.84160694,,,,,,
140,141,96.78265168,99.86402567,0.0,99.72996764,98.29928582,99.22686738,99.83997646,,,,,,
141,142,96.96518791,99.8853986,0.0,99.71277377,98.28709462,99.13068453,99.83834598,,,4.550000191,3.960000038,,
142,143,97.14624349,99.90677154,0.0,99.69599445,98.27522266,99.03450168,99.8367155,,,6.260000229,4.409999847,,
143,144,97.32571774,99.92814447,0.0,99.67961928,98.26364733,98.93831882,99.83508502,,,,,,
